111101	adjunct al procurorului general
111102	ambasador
111103	chestor Parlament
111104	comandant unic aviatie
111105	comisar general
111106	comisar general adjunct
111107	senator
111108	guvernator
111109	presedinte Academie
111110	presedinte inalta Curte de Casatie si Justitie
111111	presedinte curte de apel
111112	presedinte Curtea de Conturi a Romaniei
111113	presedinte de judecatorie
111114	presedinte Camera Deputatilor
111115	presedinte sectie (la inalta Curte de Casatie si
111116	presedinte tribunal
111117	Presedintele Romaniei
111118	prim-procuror
111119	prim-procuror adjunct
111120	prim-adjunct al procurorului general
111121	prim-ministru
111122	procuror general
111123	procuror sef de sectie
111124	procuror sef de sectie adjunct
111125	secretar general al Guvernului
111126	secretar Parlament
111127	secretar de stat
111128	vicepresedinte (la inalta Curte de Casatie si
111129	inspector-sef al Inspectiei Judiciare de pe
111130	membru al Consiliului Superior al
111131	secretar general adjunct al Consiliului
111132	inspector in cadrul Inspectiei Judiciare pentru
111133	inspector general judecatoresc sef
111134	ministru
111135	ministru consilier
111136	ministru de stat
111137	ministru plenipotentiar
111138	deputat
111139	presedinte Senat
111140	subsecretar de stat
111201	consilier diplomatic
111202	consilier guvernamental
111203	consilier si consultant juridic
111204	consilier institutii publice
111205	consilier al ministailui
111206	consul general
111207	director institutie publica
111208	director adjunct institutie publica
111209	director de cabinet
111210	director general institutie publica
111211	consilier economic
111212	inspector de stat sef
111213	inspector-sef in administratia publica
111214	magistrat-asistent-sef
111215	notar-sef
111216	notar-sef adjunct
111217	secretapsef notariat
111218	prefect
111219	secretar general
111220	sef birou institutie publica
111221	sef cabinet
111222	sef birou senatorial
111223	sef departament
111224	sef protocol de stat
111225	sef serviciu institutie publica
111226	subprefect
111227	viceguvernator
111228	presedinte institutie publica
111229	consilier prezidential
111230	consilier parlamentar
111231	vicepresedinte institutie publica
111232	atasat diplomatic
111233	consul
111234	secretar diplomatic
111235	viceconsul
111236	consultant prezidential si guvernamental
111237	secretar general Academie
111238	director general adjunct
111239	investigator sef
111240	inspector sef teritorial
111241	consilier de stat
111301	primar
111302	secretar primarie, prefectura
111303	viceprimar
111401	consilier organizatie politica
111402	presedinte organizatie politica
111403	vicepresedinte organizatie politica
111404	secretar organizatie politica
111405	conducator de asociatii, filiale si organizatii
111406	loctiitor al conducatorului de asociatii, filiale
111407	secretar si secretar adjunct ai asociatiilor
111408	presedinte organizatie sindicala
111409	vicepresedinte organizatie sindicala
111410	secretar organizatie sindicala
111411	delegat sindical
111412	presedinte asociatie nationala cooperatista
111413	vicepresedinte asociatie nationala
111414	secretar general asociatie nationala
111415	presedinte asociatie teritoriala de organizatii
111416	vicepresedinte asociatie teritoriala de
111417	secretar asociatie teritoriala de organizatii
111418	sef departament organizatie sindicala
111419	presedinte organizatie cooperatista
111420	vicepresedinte organizatie cooperatista
111421	presedinte asociatie patronala
111422	vicepresedinte asociatie patronala
111423	presedinte organizatie profesionala nationala
111424	vicepresedinte organizatie profesionala
111425	secretar national organizatie profesionala
111426	presedinte organizatie profesionala, filiala
111427	vicepresedinte organizatie profesionala
111428	secretar organizatie profesionala, filiala
111429	consilier presedinte organizatie profesionala
111430	consilier presedinte organizatie profesionala
111431	sef departament/compartiment/presedinte
111432	delegat sindical local
111433	conducator de organizatii umanitare
111434	secretar al organizatiilor umanitare
112001	comandant/comandant adjunct aviatie
112002	comandant port, flota
112003	decan, rector, prorector, prodecan
112004	director societate comerciala
112005	director adjunct societate comerciala
112006	inspector general scolar
112007	director stiintific cercetare-dezvoltare
112008	inspector sanitar sef
112009	medic (farmacist) director
112010	medic (farmacist) director adjunct
112011	director general societate comerciala
112012	director general adjunct societate comerciala
112013	director de program
112014	director generai regie autonoma
112015	director general adjunct regie autonoma
112016	director control risc
112017	director comercial
112018	director vanzari
112019	director/director adjunct, inspector-sef
112020	director economic
112021	director magazin
